vendorProject,product,cwe_primary,year_added,month_added,ransomware_known,cluster,pc1,pc2
Zyxel,Multiple Network-Attached Storage (NAS) Devices,CWE-78,2022,3,0.0,1,0.3793483091954815,-1.0069020930540753
Webmin,Webmin,CWE-78,2022,3,0.0,1,0.3773154638652785,-1.0102057062148406
Looking Glass,Multi-Router Looking Glass (MRLG),CWE-119,2025,7,0.0,0,1.1859938258954155,1.2780142095845424
Qualcomm,Multiple Chipsets,CWE-416,2021,11,0.0,2,-1.7435071382310818,0.05229879614360844
Microsoft,Windows,CWE-119,2022,3,0.0,1,0.36195654355732176,-1.1950534700178315
D-Link,DIR-610 Devices,CWE-78,2022,3,0.0,1,0.3816262826550538,-1.0075902341491707
Microsoft,Windows,CWE-94,2024,2,0.0,0,1.630850978634514,-0.31647778740421983
Microsoft,PowerPoint,CWE-119,2022,6,0.0,1,-0.23360499353318276,-0.5850422179514462
Microsoft,Internet Explorer,CWE-416,2022,5,0.0,1,-0.049044618440871546,-0.7498889107306593
Arm,Mali Graphics Processing Unit (GPU),CWE-416,2021,11,0.0,2,-1.740120789851815,0.033667791558081195
Elastic,Elasticsearch,CWE-284,2022,3,0.0,1,0.3700370634939709,-1.0168047985328839
vBulletin,vBulletin,CWE-94,2021,11,0.0,2,-1.7276514299834926,0.02330317023584072
SolarWinds,Virtualization Manager,CWE-264,2021,11,0.0,2,-1.7379182238192334,0.02164427506300104
SonicWall,SMA100,CWE-89,2021,11,0.0,2,-1.7342832405146233,0.04465579520606666
SolarWinds,Orion,CWE-288,2021,11,0.0,2,-1.7337253912635653,0.04680321950262356
Qualcomm,Multiple Chipsets,CWE-863,2025,6,0.0,0,1.3761990383056424,1.1588521778207779
Trend Micro,Apex Central,CWE-184,2022,3,0.0,1,0.36212467637638135,-1.0126812064624253
Kentico,Xperience,CWE-502,2022,3,0.0,1,0.3755246413674488,-0.9983197515835825
Adobe,ColdFusion,CWE-255,2022,3,0.0,1,0.37516056288233157,-1.0528407332346084
Microsoft,Windows,CWE-20,2022,3,0.0,1,0.3120336553445815,-1.2194570881793012
Adobe,Flash Player,CWE-787,2022,5,0.0,1,-0.040217589565351264,-0.6793011906683982
Android,Pixel,CWE-783,2024,6,0.0,0,0.8497711061639146,0.6200682071780508
D-Link,DIR-820L,CWE-78,2022,9,0.0,2,-0.7964941455231767,0.1728611822204812
Microsoft,PowerPoint,CWE-119,2022,3,0.0,1,0.35513432510438125,-1.1747056124528825
Cisco,Adaptive Security Appliance and Firepower Threat Defense,CWE-288,2023,9,0.0,2,-0.2689955398575462,0.6567404420192108
D-Link,DNR-322L,CWE-494,2025,8,0.0,0,0.9904027564449362,1.531742420068225
Oracle,WebLogic Server,CWE-502,2022,9,0.0,2,-0.8047372734624124,0.16940961366341056
Oracle,WebLogic Server,,2022,2,0.0,1,0.5155157954477951,-1.3019689446014775
Citrix,NetScaler ADC and NetScaler Gateway,CWE-94,2023,7,0.0,0,0.12739973410140296,0.27954428735720627
Fortinet,FortiOS,CWE-798,2025,6,0.0,0,1.3780907068656225,1.1448012492207724
Microsoft,Windows,,2021,11,0.0,2,-1.7906448752579252,-0.16597884251862838
F5,BIG-IP,CWE-22,2021,11,0.0,2,-1.7452597966799717,0.05384890569804557
Apple,iOS and iPadOS,CWE-119,2022,6,0.0,1,-0.2297361419112951,-0.4773744144832126
Microsoft,Windows,CWE-94,2022,2,0.0,1,0.5654369501631754,-1.3543927334238681
Adobe,"Acrobat and Reader, Flash Player",CWE-94,2022,6,0.0,1,-0.20586624263856895,-0.4767831005044779
Microsoft,Windows,CWE-404,2022,5,0.0,1,-0.031099395716285005,-0.7521542628653266
Microsoft,Win32k,CWE-264,2021,11,0.0,2,-1.7576815857821666,-0.10236329371381159
Microsoft,Office,CWE-119,2022,6,0.0,1,-0.23797646576889386,-0.5987493559639936
Microsoft,Office,CWE-19,2022,3,0.0,1,0.34834095114082114,-1.1354024061763743
VMware,vCenter Server,CWE-23,2021,11,0.0,2,-1.7386921968096325,0.03895519397766556
Microsoft,Windows,CWE-787,2021,11,0.0,2,-1.7662682208708123,-0.09088827595329763
Apple,Multiple Products,CWE-125,2023,5,0.0,1,0.4959480073240824,-0.08506606785506968
Microsoft,Defender,CWE-122,2021,11,0.0,2,-1.7558216852242268,-0.059680389736432526
Apple,Multiple Products,CWE-787,2021,11,0.0,2,-1.7742983474631715,0.04930962479383105
Google,Chromium V8,CWE-190,2022,6,0.0,1,-0.24128876485173795,-0.4149824653182399
NextGen Healthcare,Mirth Connect,CWE-502,2024,5,0.0,0,1.0491797491929602,0.43543602982339075
Telerik,User Interface (UI) for ASP.NET AJAX,CWE-20,2023,1,0.0,1,1.248391893188729,-0.9694790837427745
Google,Chromium Blink,CWE-416,2021,11,0.0,2,-1.756108742018888,0.03675674440719068
Microsoft,Windows,CWE-591,2024,8,0.0,0,0.44351997967734097,0.8820217839309122
F5,BIG-IP and BIG-IQ Centralized Management,CWE-863,2021,11,0.0,2,-1.733705869721801,0.04746777781533351
Sumavision,Enhanced Multimedia Router (EMR),CWE-352,2021,11,0.0,2,-1.735124114160261,0.041594098301728666
IBM,Data Risk Manager,CWE-78,2021,11,0.0,2,-1.7314488262557606,0.04270138656059208
